Error Codes
HTTP error codes
Error code	Description
400 Bad Request	Your request parameters are incorrect.
401 Unauthorized	Your API key is wrong or missing.
403 Forbidden	The requested resource is hidden for administrators only.
404 Not Found	The specified resource could not be found.
405 Method Not Allowed	You tried to access a resource with an invalid method.
406 Not Acceptable	You requested a format that isn’t json.
410 Gone	The resource requested has been removed from our servers.
429 Too Many Requests	You’re requesting too many resources! Slow down!
500 Internal Server Error	We had a problem with our server. Please try again later.
503 Service Unavailable	We’re temporarily offline for maintenance. Please try again later.
