[2025-11-09T06:20:26.445Z] RUN_START symbols=1 from=2025-09-01 to=2025-09-05 interval=day mode=mock runId=run-1762669226444 resume=false
[2025-11-09T06:20:27.583Z] JOB_START MSFT
[2025-11-09T06:20:27.961Z] USAGE cpu=0.1% rssMb=140.4
[2025-11-09T06:20:29.463Z] USAGE cpu=0.3% rssMb=147.0
[2025-11-09T06:20:31.138Z] USAGE cpu=0.4% rssMb=147.6
[2025-11-09T06:20:32.649Z] USAGE cpu=1.3% rssMb=176.3
[2025-11-09T06:20:34.153Z] USAGE cpu=1.4% rssMb=177.8
[2025-11-09T06:20:35.652Z] USAGE cpu=1.3% rssMb=176.6
[2025-11-09T06:20:37.153Z] USAGE cpu=1.2% rssMb=176.6
[2025-11-09T06:20:38.668Z] USAGE cpu=1.1% rssMb=177.5
[2025-11-09T06:20:40.171Z] USAGE cpu=0.3% rssMb=137.2
[2025-11-09T06:20:41.673Z] USAGE cpu=0.5% rssMb=135.1
[2025-11-09T06:20:43.181Z] USAGE cpu=0.5% rssMb=135.2
[2025-11-09T06:20:44.682Z] USAGE cpu=0.5% rssMb=135.2
[2025-11-09T06:20:46.186Z] USAGE cpu=0.5% rssMb=135.3
[2025-11-09T06:20:47.700Z] USAGE cpu=0.3% rssMb=135.3
[2025-11-09T06:20:49.212Z] USAGE cpu=0.1% rssMb=136.5
[2025-11-09T06:20:50.718Z] USAGE cpu=0.2% rssMb=137.8
[2025-11-09T06:20:52.232Z] USAGE cpu=0.2% rssMb=137.9
[2025-11-09T06:20:53.734Z] USAGE cpu=0.2% rssMb=138.1
[2025-11-09T06:20:55.234Z] USAGE cpu=0.2% rssMb=138.3
[2025-11-09T06:20:56.746Z] USAGE cpu=0.2% rssMb=138.3
[2025-11-09T06:20:58.251Z] USAGE cpu=0.1% rssMb=138.3
[2025-11-09T06:20:59.759Z] USAGE cpu=0.1% rssMb=138.3
[2025-11-09T06:21:01.264Z] USAGE cpu=0.1% rssMb=138.3
[2025-11-09T06:21:02.779Z] USAGE cpu=0.1% rssMb=138.3
[2025-11-09T06:21:04.278Z] USAGE cpu=0.1% rssMb=138.3
[2025-11-09T06:21:05.791Z] USAGE cpu=0.6% rssMb=156.9
[2025-11-09T06:21:07.302Z] USAGE cpu=0.6% rssMb=158.4
[2025-11-09T06:21:08.816Z] USAGE cpu=0.6% rssMb=163.9
[2025-11-09T06:21:10.318Z] USAGE cpu=0.6% rssMb=168.3
[2025-11-09T06:21:11.824Z] USAGE cpu=0.6% rssMb=169.6
[2025-11-09T06:21:13.335Z] USAGE cpu=0.4% rssMb=181.5
[2025-11-09T06:21:14.845Z] USAGE cpu=0.5% rssMb=181.3
[2025-11-09T06:21:16.361Z] USAGE cpu=0.5% rssMb=178.6
[2025-11-09T06:21:17.870Z] USAGE cpu=0.5% rssMb=178.9
[2025-11-09T06:21:19.620Z] USAGE cpu=0.8% rssMb=184.9
[2025-11-09T06:21:21.120Z] USAGE cpu=0.5% rssMb=184.9
[2025-11-09T06:21:22.620Z] USAGE cpu=0.4% rssMb=184.9
[2025-11-09T06:21:24.136Z] USAGE cpu=0.6% rssMb=151.0
[2025-11-09T06:21:25.643Z] USAGE cpu=1.8% rssMb=192.8
[2025-11-09T06:21:27.145Z] USAGE cpu=2.6% rssMb=211.6
[2025-11-09T06:21:28.648Z] USAGE cpu=2.6% rssMb=211.6
[2025-11-09T06:21:30.161Z] USAGE cpu=2.6% rssMb=211.6
[2025-11-09T06:21:31.662Z] USAGE cpu=2.3% rssMb=211.6
[2025-11-09T06:21:33.162Z] USAGE cpu=1.1% rssMb=211.6
[2025-11-09T06:21:34.663Z] USAGE cpu=0% rssMb=211.6
[2025-11-09T06:21:36.178Z] USAGE cpu=0% rssMb=211.6
[2025-11-09T06:21:37.680Z] USAGE cpu=0% rssMb=211.7
[2025-11-09T06:21:39.194Z] USAGE cpu=0% rssMb=211.7
[2025-11-09T06:21:40.710Z] USAGE cpu=0.1% rssMb=130.1
[2025-11-09T06:21:42.211Z] USAGE cpu=0.1% rssMb=130.1
[2025-11-09T06:21:43.727Z] USAGE cpu=0.1% rssMb=130.1
[2025-11-09T06:21:45.228Z] USAGE cpu=0.1% rssMb=130.1
[2025-11-09T06:21:46.728Z] USAGE cpu=0.1% rssMb=130.1
[2025-11-09T06:21:48.244Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:21:49.744Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:21:51.243Z] USAGE cpu=0% rssMb=130.1
[2025-11-09T06:21:52.745Z] USAGE cpu=0% rssMb=130.1
