[2025-11-09T06:37:29.058Z] RUN_START symbols=1 from=2025-09-01 to=2025-09-05 interval=day mode=mock runId=run-1762670249058 resume=false
[2025-11-09T06:37:30.275Z] JOB_START AAPL
[2025-11-09T06:37:30.563Z] USAGE cpu=0.1% rssMb=142.1
[2025-11-09T06:37:32.066Z] USAGE cpu=0.3% rssMb=148.7
[2025-11-09T06:37:33.925Z] USAGE cpu=0.9% rssMb=173.3
[2025-11-09T06:37:35.431Z] USAGE cpu=1.1% rssMb=177.8
[2025-11-09T06:37:36.942Z] USAGE cpu=1.1% rssMb=177.8
[2025-11-09T06:37:38.444Z] USAGE cpu=1.1% rssMb=178.0
[2025-11-09T06:37:39.947Z] USAGE cpu=1% rssMb=179.2
[2025-11-09T06:37:41.450Z] USAGE cpu=0.3% rssMb=179.2
[2025-11-09T06:37:42.951Z] USAGE cpu=0.3% rssMb=133.8
[2025-11-09T06:37:44.451Z] USAGE cpu=0.4% rssMb=137.1
[2025-11-09T06:37:45.952Z] USAGE cpu=0.3% rssMb=137.1
[2025-11-09T06:37:47.468Z] USAGE cpu=0.3% rssMb=137.6
[2025-11-09T06:37:48.984Z] USAGE cpu=0.3% rssMb=137.6
[2025-11-09T06:37:50.483Z] USAGE cpu=0.1% rssMb=137.7
[2025-11-09T06:37:51.998Z] USAGE cpu=0.2% rssMb=137.4
[2025-11-09T06:37:53.499Z] USAGE cpu=0.2% rssMb=137.6
[2025-11-09T06:37:55.001Z] USAGE cpu=0.2% rssMb=137.8
[2025-11-09T06:37:56.515Z] USAGE cpu=0.2% rssMb=137.8
[2025-11-09T06:37:58.016Z] USAGE cpu=0.1% rssMb=137.8
[2025-11-09T06:37:59.516Z] USAGE cpu=0.1% rssMb=137.9
[2025-11-09T06:38:01.016Z] USAGE cpu=0.1% rssMb=137.9
[2025-11-09T06:38:02.532Z] USAGE cpu=0.1% rssMb=137.9
[2025-11-09T06:38:04.032Z] USAGE cpu=0.1% rssMb=138.0
[2025-11-09T06:38:05.548Z] USAGE cpu=0.5% rssMb=149.0
[2025-11-09T06:38:07.062Z] USAGE cpu=0.5% rssMb=149.0
[2025-11-09T06:38:08.565Z] USAGE cpu=0.5% rssMb=153.8
[2025-11-09T06:38:10.079Z] USAGE cpu=0.5% rssMb=153.8
[2025-11-09T06:38:11.582Z] USAGE cpu=0.5% rssMb=153.8
[2025-11-09T06:38:13.083Z] USAGE cpu=0.6% rssMb=169.9
[2025-11-09T06:38:14.583Z] USAGE cpu=0.6% rssMb=170.2
[2025-11-09T06:38:16.099Z] USAGE cpu=0.6% rssMb=170.5
[2025-11-09T06:38:17.599Z] USAGE cpu=0.5% rssMb=172.1
[2025-11-09T06:38:19.253Z] USAGE cpu=0.8% rssMb=183.9
[2025-11-09T06:38:20.762Z] USAGE cpu=0.4% rssMb=184.0
[2025-11-09T06:38:22.262Z] USAGE cpu=0.3% rssMb=184.0
[2025-11-09T06:38:23.764Z] USAGE cpu=0.5% rssMb=187.4
[2025-11-09T06:38:25.265Z] USAGE cpu=2.1% rssMb=193.1
[2025-11-09T06:38:26.779Z] USAGE cpu=2.6% rssMb=201.8
[2025-11-09T06:38:28.279Z] USAGE cpu=2.6% rssMb=201.8
[2025-11-09T06:38:29.784Z] USAGE cpu=2.6% rssMb=201.8
[2025-11-09T06:38:31.290Z] USAGE cpu=2.4% rssMb=201.8
[2025-11-09T06:38:32.804Z] USAGE cpu=0.8% rssMb=201.8
[2025-11-09T06:38:34.308Z] USAGE cpu=0% rssMb=201.8
[2025-11-09T06:38:35.813Z] USAGE cpu=0% rssMb=201.8
[2025-11-09T06:38:37.317Z] USAGE cpu=0.1% rssMb=118.8
[2025-11-09T06:38:38.826Z] USAGE cpu=0.1% rssMb=118.8
[2025-11-09T06:38:40.339Z] USAGE cpu=0.1% rssMb=118.8
[2025-11-09T06:38:41.854Z] USAGE cpu=0.1% rssMb=118.9
[2025-11-09T06:38:43.357Z] USAGE cpu=0.1% rssMb=118.9
[2025-11-09T06:38:44.871Z] USAGE cpu=0% rssMb=118.9
[2025-11-09T06:38:46.382Z] USAGE cpu=0% rssMb=118.9
[2025-11-09T06:38:47.884Z] USAGE cpu=0% rssMb=118.9
[2025-11-09T06:38:49.385Z] USAGE cpu=0% rssMb=118.9
[2025-11-09T06:38:50.887Z] USAGE cpu=0% rssMb=118.9
[2025-11-09T06:38:52.390Z] USAGE cpu=0% rssMb=118.9
[2025-11-09T06:38:53.893Z] USAGE cpu=0% rssMb=118.9
[2025-11-09T06:38:55.401Z] USAGE cpu=0% rssMb=118.9
[2025-11-09T06:38:56.916Z] USAGE cpu=0% rssMb=118.9
[2025-11-09T06:38:58.419Z] USAGE cpu=0% rssMb=118.9
[2025-11-09T06:38:59.921Z] USAGE cpu=0% rssMb=118.9
[2025-11-09T06:39:01.423Z] USAGE cpu=0% rssMb=118.9
[2025-11-09T06:39:02.927Z] USAGE cpu=0% rssMb=118.9
[2025-11-09T06:39:04.432Z] USAGE cpu=0% rssMb=118.9
[2025-11-09T06:39:05.932Z] USAGE cpu=0% rssMb=118.9
[2025-11-09T06:39:07.434Z] USAGE cpu=0% rssMb=119.0
[2025-11-09T06:39:08.941Z] USAGE cpu=0% rssMb=119.0
[2025-11-09T06:39:10.442Z] USAGE cpu=0% rssMb=119.0
[2025-11-09T06:39:11.943Z] USAGE cpu=0% rssMb=119.0
[2025-11-09T06:39:13.446Z] USAGE cpu=0% rssMb=119.0
[2025-11-09T06:39:14.947Z] USAGE cpu=0% rssMb=119.0
[2025-11-09T06:39:16.448Z] USAGE cpu=0% rssMb=119.0
[2025-11-09T06:39:17.950Z] USAGE cpu=0% rssMb=119.0
[2025-11-09T06:39:19.463Z] USAGE cpu=0% rssMb=119.0
[2025-11-09T06:39:20.963Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:22.478Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:23.979Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:25.495Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:27.011Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:28.521Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:30.021Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:31.521Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:33.036Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:34.536Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:36.051Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:37.554Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:39.054Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:40.554Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:42.069Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:43.585Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:45.085Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:46.585Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:48.085Z] USAGE cpu=0% rssMb=119.1
[2025-11-09T06:39:49.588Z] USAGE cpu=0% rssMb=119.2
[2025-11-09T06:39:51.101Z] USAGE cpu=0% rssMb=119.2
[2025-11-09T06:39:52.602Z] USAGE cpu=0% rssMb=119.2
[2025-11-09T06:39:54.117Z] USAGE cpu=0% rssMb=119.2
[2025-11-09T06:39:55.632Z] USAGE cpu=0% rssMb=119.2
[2025-11-09T06:39:57.134Z] USAGE cpu=0% rssMb=119.2
[2025-11-09T06:39:58.636Z] USAGE cpu=0% rssMb=119.2
[2025-11-09T06:40:00.138Z] USAGE cpu=0% rssMb=119.2
[2025-11-09T06:40:01.649Z] USAGE cpu=0% rssMb=119.2
[2025-11-09T06:40:03.152Z] USAGE cpu=0% rssMb=119.2
[2025-11-09T06:40:04.665Z] USAGE cpu=0% rssMb=119.3
[2025-11-09T06:40:06.169Z] USAGE cpu=0% rssMb=119.3
[2025-11-09T06:40:07.684Z] USAGE cpu=0% rssMb=119.3
[2025-11-09T06:40:09.188Z] USAGE cpu=0% rssMb=119.3
[2025-11-09T06:40:10.698Z] USAGE cpu=0% rssMb=119.3
[2025-11-09T06:40:12.213Z] USAGE cpu=0% rssMb=119.3
[2025-11-09T06:40:13.720Z] USAGE cpu=0% rssMb=119.3
[2025-11-09T06:40:15.229Z] USAGE cpu=0% rssMb=119.3
[2025-11-09T06:40:16.733Z] USAGE cpu=0% rssMb=119.3
[2025-11-09T06:40:18.235Z] USAGE cpu=0% rssMb=119.3
[2025-11-09T06:40:19.739Z] USAGE cpu=0% rssMb=119.3
[2025-11-09T06:40:21.250Z] USAGE cpu=0% rssMb=119.3
[2025-11-09T06:40:22.763Z] USAGE cpu=0% rssMb=119.4
[2025-11-09T06:40:24.265Z] USAGE cpu=0% rssMb=119.6
[2025-11-09T06:40:25.766Z] USAGE cpu=0% rssMb=119.6
[2025-11-09T06:40:27.266Z] USAGE cpu=0% rssMb=119.6
