[2025-11-16T06:22:20.224Z] RUN_START symbols=1 from=2025-01-01 to=2025-01-02 interval=day mode=mock runId=run-1763274140224 resume=false
[2025-11-16T06:22:21.381Z] JOB_START A
[2025-11-16T06:22:21.741Z] USAGE cpu=1.2% rssMb=206.9
[2025-11-16T06:22:23.248Z] USAGE cpu=1.2% rssMb=206.9
[2025-11-16T06:22:24.824Z] USAGE cpu=2.6% rssMb=212.4
[2025-11-16T06:22:26.336Z] USAGE cpu=2.1% rssMb=215.4
[2025-11-16T06:22:27.838Z] USAGE cpu=1.2% rssMb=215.5
[2025-11-16T06:22:29.347Z] USAGE cpu=0.4% rssMb=215.5
[2025-11-16T06:22:30.852Z] USAGE cpu=0.2% rssMb=215.8
[2025-11-16T06:22:32.354Z] USAGE cpu=0.2% rssMb=216.1
[2025-11-16T06:22:33.859Z] USAGE cpu=0.1% rssMb=216.5
[2025-11-16T06:22:35.365Z] USAGE cpu=0.2% rssMb=218.6
[2025-11-16T06:22:36.869Z] USAGE cpu=0.2% rssMb=218.6
[2025-11-16T06:22:38.370Z] USAGE cpu=0.2% rssMb=218.7
[2025-11-16T06:22:39.871Z] USAGE cpu=0.2% rssMb=218.7
[2025-11-16T06:22:41.383Z] USAGE cpu=0.2% rssMb=218.9
[2025-11-16T06:22:42.898Z] USAGE cpu=0.2% rssMb=218.9
[2025-11-16T06:22:44.401Z] USAGE cpu=0.2% rssMb=218.9
[2025-11-16T06:22:45.902Z] USAGE cpu=0.1% rssMb=218.9
[2025-11-16T06:22:47.417Z] USAGE cpu=0.2% rssMb=219.0
[2025-11-16T06:22:48.921Z] USAGE cpu=0.1% rssMb=219.0
[2025-11-16T06:22:50.422Z] USAGE cpu=0.1% rssMb=219.0
[2025-11-16T06:22:51.934Z] USAGE cpu=0.1% rssMb=219.6
[2025-11-16T06:22:53.438Z] USAGE cpu=0.2% rssMb=223.5
[2025-11-16T06:22:54.952Z] USAGE cpu=0.2% rssMb=223.7
[2025-11-16T06:22:56.465Z] USAGE cpu=0.2% rssMb=223.7
[2025-11-16T06:22:57.968Z] USAGE cpu=0.5% rssMb=219.5
[2025-11-16T06:22:59.471Z] USAGE cpu=0.6% rssMb=220.4
[2025-11-16T06:23:00.982Z] USAGE cpu=0.5% rssMb=220.4
[2025-11-16T06:23:02.482Z] USAGE cpu=0.5% rssMb=220.4
[2025-11-16T06:23:03.986Z] USAGE cpu=0.5% rssMb=220.4
[2025-11-16T06:23:05.488Z] USAGE cpu=0.2% rssMb=219.8
[2025-11-16T06:23:07.002Z] USAGE cpu=0.1% rssMb=219.8
[2025-11-16T06:23:08.504Z] USAGE cpu=0.1% rssMb=220.8
[2025-11-16T06:23:10.005Z] USAGE cpu=0.1% rssMb=221.1
[2025-11-16T06:23:11.515Z] USAGE cpu=0.1% rssMb=221.1
[2025-11-16T06:23:13.028Z] USAGE cpu=0.1% rssMb=221.1
