═══════════════════════════════════════════════════════════════════════════════════════
 THE MASTER COMPARISON: ALL ENTRY METHODS (Simulated w/ ₹1000 Risk & Trailing Stops)
═══════════════════════════════════════════════════════════════════════════════════════

METHOD                         | Sigs | Entr | WR    | Tot P&L | AvgT  | MaxDD | MCL
───────────────────────────────────────────────────────────────────────────────────────
A. Raw BOs (Same Day Mkt)      |  290 |  288 |  41.7% | ₹-3454 | ₹ -12 | 29.3% | 10
B. + Base Stage/RSI/NIFTY      |  290 |   38 |  44.7% | ₹-2877 | ₹ -76 |  7.3% |  6
C. B + Next Mrng Market        |  290 |   37 |  35.1% | ₹-2067 | ₹ -56 |  6.9% |  7
D. B + Limit Order -2%         |  290 |    8 |  50.0% | ₹ 2579 | ₹ 322 |  3.0% |  3
E. C + Type A (1H Conf)        |  290 |   25 |  44.0% | ₹ 5218 | ₹ 209 |  3.6% |  4
────────────────────────────── | ──── | ──── | ───── | ────── | ───── | ───── | ──
F. Raw Retests (Next Day)      |   45 |   42 |  31.0% | ₹-8814 | ₹-210 | 11.7% |  6
G. F + SMA20 Held              |   45 |   22 |  40.9% | ₹-1490 | ₹ -68 |  5.9% |  5
H. G + Base Stage/RSI/NFT      |   45 |    0 |     0% | ₹    0 | ₹   0 |  0.0% |  0
I. G + Base Stage/RSI          |   45 |    4 |  50.0% | ₹ 1262 | ₹ 316 |  2.6% |  2
