[2026-02-18T14:28:45.745Z] Fetched FEDERALBNK: Daily(32), Weekly(31), Nifty(32)
[2026-02-18T14:28:45.783Z] Fetched BANKINDIA: Daily(32), Weekly(31), Nifty(32)
[2026-02-18T14:28:46.756Z] Fetched BDL: Daily(32), Weekly(31), Nifty(32)
[2026-02-18T14:28:47.841Z] Fetched SONACOMS: Daily(32), Weekly(31), Nifty(32)
[2026-02-18T14:28:49.208Z] Fetched WIPRO: Daily(32), Weekly(31), Nifty(32)
[2026-02-18T14:29:00.416Z] Fetched BHEL: Daily(32), Weekly(31), Nifty(32)
[2026-02-18T14:29:01.521Z] Fetched ABB: Daily(32), Weekly(31), Nifty(32)
[2026-02-18T14:29:02.583Z] Fetched ONGC: Daily(32), Weekly(31), Nifty(32)
[2026-02-18T14:29:09.071Z] Fetched LUPIN: Daily(32), Weekly(31), Nifty(32)
[2026-02-18T14:29:10.061Z] Fetched GRANULES: Daily(32), Weekly(31), Nifty(32)
[2026-02-18T14:29:21.269Z] Fetched TECHM: Daily(32), Weekly(31), Nifty(32)
[2026-02-18T14:29:22.894Z] Fetched DRREDDY: Daily(32), Weekly(31), Nifty(32)
[2026-02-18T14:29:22.917Z] Fetched ADANIENT: Daily(32), Weekly(31), Nifty(32)
[2026-02-18T14:29:22.925Z] Fetched SUNPHARMA: Daily(32), Weekly(31), Nifty(32)
[2026-02-18T14:29:22.928Z] Fetched HAVELLS: Daily(32), Weekly(31), Nifty(32)
[2026-02-18T14:29:36.187Z] Fetched POWERINDIA: Daily(31), Weekly(31), Nifty(88)
[2026-02-18T14:29:39.198Z] Fetched POLICYBZR: Daily(30), Weekly(31), Nifty(86)
[2026-02-18T14:29:41.512Z] Fetched GLENMARK: Daily(30), Weekly(31), Nifty(86)
[2026-02-18T14:29:41.797Z] Fetched DALBHARAT: Daily(30), Weekly(35), Nifty(86)
[2026-02-18T14:29:45.999Z] Fetched DIXON: Daily(31), Weekly(31), Nifty(88)
[2026-02-18T14:29:59.272Z] Fetched ULTRACEMCO: Daily(30), Weekly(35), Nifty(88)
[2026-02-18T14:30:00.254Z] Fetched MANKIND: Daily(30), Weekly(31), Nifty(91)
[2026-02-18T14:30:01.385Z] Fetched SHREECEM: Daily(30), Weekly(31), Nifty(88)
[2026-02-18T14:30:04.876Z] Fetched SUPREMEIND: Daily(30), Weekly(31), Nifty(88)
[2026-02-18T14:30:21.089Z] Fetched MFSL: Daily(30), Weekly(36), Nifty(88)
[2026-02-18T14:30:33.347Z] Fetched SRF: Daily(32), Weekly(31), Nifty(107)
[2026-02-18T14:30:34.430Z] Fetched PAGEIND: Daily(32), Weekly(31), Nifty(108)
[2026-02-18T14:30:35.614Z] Fetched BOSCHLTD: Daily(31), Weekly(37), Nifty(92)
[2026-02-18T14:30:37.758Z] Fetched HDFCAMC: Daily(31), Weekly(37), Nifty(92)
[2026-02-18T14:30:39.945Z] Fetched DMART: Daily(30), Weekly(36), Nifty(91)
[2026-02-18T14:30:53.611Z] Fetched NHPC: Daily(33), Weekly(31), Nifty(127)
[2026-02-18T14:30:54.297Z] Fetched JSWSTEEL: Daily(32), Weekly(31), Nifty(125)
[2026-02-18T14:30:57.624Z] Fetched SBICARD: Daily(32), Weekly(31), Nifty(125)
[2026-02-18T14:31:01.105Z] Fetched JUBLFOOD: Daily(70), Weekly(44), Nifty(125)
[2026-02-18T14:31:02.327Z] Fetched MAZDOCK: Daily(56), Weekly(41), Nifty(126)
[2026-02-18T14:31:18.749Z] Fetched COFORGE: Daily(32), Weekly(31), Nifty(132)
[2026-02-18T14:31:18.877Z] Fetched NYKAA: Daily(76), Weekly(45), Nifty(127)
[2026-02-18T14:31:19.513Z] Fetched ASTRAL: Daily(31), Weekly(31), Nifty(134)
[2026-02-18T14:31:20.194Z] Fetched DLF: Daily(33), Weekly(31), Nifty(127)
[2026-02-18T14:31:23.167Z] Fetched AMBER: Daily(32), Weekly(31), Nifty(135)
[2026-02-18T14:31:36.644Z] Fetched LT: Daily(32), Weekly(31), Nifty(140)
[2026-02-18T14:31:38.444Z] Fetched BLUESTARCO: Daily(32), Weekly(31), Nifty(135)
[2026-02-18T14:31:38.669Z] Fetched PRESTIGE: Daily(32), Weekly(31), Nifty(135)
